[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
  21 -.49755366115127E+000 0.22386789681285E-004 0.40071531090952E-008 0.46261027390515E-007 0.21298219313585E+000 0.76812109816352E-006 0.70706963471672E-002 0.32775617267104E-004 0.13220302259892E-009 0.95219339768940E-011 0.50239808529141E-005 0.31599975678057E-001 0.22225498261537E-002 0.64424075795423E-002 0.14433366614653E-008 0.12573750146711E-003 0.69313514031408E-005 0.69669395534715E-004 0.13432392715853E-006 0.12683258367330E-003 0.65432720664816E-018 0.36864714472937E-007 0.73929182905037E+000 -.41288770305492E-037 0.43133379621794E+003 0.94386757535811E-002 -.16642941862591E+003 0.10000000000000E+001 0.79610354748787E+002 0.10000000000000E+006 0.78197629984454E-003 0.28044115909925E+002 0.10000000000000E+001 0.10000000000000E+001 0.43133379621794E+003 0.35838694504824E+001 0.21069672957393E-022
  22 -.49739626132955E+000 0.23768144547959E-004 0.46597530947264E-008 0.49508600049453E-007 0.21218888399131E+000 0.81583263069092E-006 0.74781274470324E-002 0.34647830137830E-004 0.14740050391477E-009 0.10745867269553E-010 0.53587867990102E-005 0.31448226028131E-001 0.23539224301045E-002 0.68190720310287E-002 0.16362949805701E-008 0.13304944636068E-003 0.73167867401449E-005 0.73777086658345E-004 0.14407884017603E-006 0.13431884099618E-003 0.69489711771469E-018 0.39039586431144E-007 0.73929847623630E+000 -.43937393654695E-037 0.43891520417094E+003 0.94289550492718E-002 -.16685278693113E+003 0.10000000000000E+001 0.79616849994787E+002 0.10000000000000E+006 0.76839869802257E-003 0.28041543866495E+002 0.10000000000000E+001 0.10000000000000E+001 0.43891520417094E+003 0.38959481516727E+001 0.21123958958781E-022
  23 -.49723587416312E+000 0.25169650202160E-004 0.53997544798402E-008 0.52904397252849E-007 0.21138794916652E+000 0.86459750290612E-006 0.78891905991853E-002 0.36531004478466E-004 0.16376805577521E-009 0.12077329299507E-010 0.57048324260118E-005 0.31294145534023E-001 0.24867625291312E-002 0.71995906993839E-002 0.18471978244351E-008 0.14043033167658E-003 0.77010623494870E-005 0.77930224208475E-004 0.15431825955575E-006 0.14188595124056E-003 0.73635513264360E-018 0.41238379291463E-007 0.73930588793384E+000 -.46573527098195E-037 0.44656034011843E+003 0.94192231981802E-002 -.16726664478255E+003 0.10000000000000E+001 0.79623725106238E+002 0.10000000000000E+006 0.75517434728444E-003 0.28038969867663E+002 0.10000000000000E+001 0.10000000000000E+001 0.44656034011843E+003 0.42216052912051E+001 0.15329500738153E-022
  24 -.49707256652887E+000 0.26590551324520E-004 0.62360146808145E-008 0.56462030017143E-007 0.21057979162149E+000 0.91447690780709E-006 0.83036919527914E-002 0.38423378361364E-004 0.18139218791712E-009 0.13524236530542E-010 0.60627682128789E-005 0.31137788472226E-001 0.26210072141216E-002 0.75837887216634E-002 0.20773626387216E-008 0.14787621484934E-003 0.80833347699257E-005 0.82126892774847E-004 0.16508307877245E-006 0.14952983672806E-003 0.77876323973480E-018 0.43460054903106E-007 0.73931405105032E+000 -.49188350096671E-037 0.45426497557556E+003 0.94094856490397E-002 -.16767080442999E+003 0.10000000000000E+001 0.79630979265749E+002 0.10000000000000E+006 0.74229793352394E-003 0.28036395646436E+002 0.10000000000000E+001 0.10000000000000E+001 0.45426497557556E+003 0.45611806879740E+001 0.15240213968448E-022
  25 -.49690640153285E+000 0.28030138198708E-004 0.71779663849975E-008 0.60196492385666E-007 0.20976477815940E+000 0.96554207319544E-006 0.87214555875292E-002 0.40323220358232E-004 0.20037019154465E-009 0.15095384523303E-010 0.64332876246271E-005 0.30979205176039E-001 0.27565989552154E-002 0.79715076874534E-002 0.23282395098362E-008 0.15538343363984E-003 0.84627576661046E-005 0.86365340635569E-004 0.17641714146328E-006 0.15724667825225E-003 0.82219778540285E-018 0.45703665397424E-007 0.73932295199694E+000 -.51773639229473E-037 0.46202524325476E+003 0.93997474594088E-002 -.16806511116335E+003 0.10000000000000E+001 0.79638611221547E+002 0.10000000000000E+006 0.72976317401711E-003 0.28033822762307E+002 0.10000000000000E+001 0.10000000000000E+001 0.46202524325476E+003 0.49150778493721E+001 0.15167268893385E-022
  26 -.49673744479542E+000 0.29487691696730E-004 0.82355958316232E-008 0.64124111646856E-007 0.20894327184340E+000 0.10178722292819E-005 0.91423068418478E-002 0.42228754776139E-004 0.22081032207709E-009 0.16800476431106E-010 0.68171121341248E-005 0.30818448150778E-001 0.28934802572693E-002 0.83625902322367E-002 0.26014166635593E-008 0.16294830648881E-003 0.88384691314063E-005 0.90643812011391E-004 0.18836680167272E-006 0.16503260903756E-003 0.86674927267764E-018 0.47968264656720E-007 0.73933257651317E+000 -.54321705924241E-037 0.46983732851034E+003 0.93900140417037E-002 -.16844942471953E+003 0.10000000000000E+001 0.79646619050448E+002 0.10000000000000E+006 0.71756345637427E-003 0.28031252707954E+002 0.10000000000000E+001 0.10000000000000E+001 0.46983732851034E+003 0.52837503075867E+001 0.20478863091963E-022
  27 -.49656578345713E+000 0.30962320600832E-004 0.94193061251485E-008 0.68262166177106E-007 0.20811572380824E+000 0.10715484112400E-005 0.95660253095526E-002 0.44137953127225E-004 0.24283010124821E-009 0.18649989980936E-010 0.72149450264960E-005 0.30655590113383E-001 0.30315783481372E-002 0.87568362677290E-002 0.28986000580076E-008 0.17056628705647E-003 0.92095540499608E-005 0.94960067929923E-004 0.20097943018163E-006 0.17288284321473E-003 0.91251876724465E-018 0.50252655005966E-007 0.73934290855990E+000 -.56825154485736E-037 0.47769659919008E+003 0.93802939054945E-002 -.16882357770881E+003 0.10000000000000E+001 0.79654999233599E+002 0.10000000000000E+006 0.70569319928914E-003 0.28028687193846E+002 0.10000000000000E+001 0.10000000000000E+001 0.47769659919008E+003 0.56676567386579E+001 0.20621934696351E-022
  28 -.49639160627196E+000 0.32452281568064E-004 0.10739213655915E-007 0.72626835230430E-007 0.20728305133575E+000 0.11266273122820E-005 0.99921515239363E-002 0.46047679598912E-004 0.26654516775637E-009 0.20654234669698E-010 0.76272731612812E-005 0.30490799443419E-001 0.31707418509486E-002 0.91538224869162E-002 0.32214621928869E-008 0.17822848762692E-003 0.95748877438182E-005 0.99309406636020E-004 0.21429679059136E-006 0.18078808161421E-003 0.95959730662507E-018 0.52554340018636E-007 0.73935392490793E+000 -.59275848788792E-037 0.48559402879369E+003 0.93705970759276E-002 -.16918722016849E+003 0.10000000000000E+001 0.79663742468266E+002 0.10000000000000E+006 0.69415284567345E-003 0.28026129292863E+002 0.10000000000000E+001 0.10000000000000E+001 0.48559402879369E+003 0.60670673091359E+001 0.15092265656614E-022
  29 -.49621507685938E+000 0.33956074153073E-004 0.12205859200539E-007 0.77236104725577E-007 0.20644602110144E+000 0.11831794401113E-005 0.10420302912689E-001 0.47955132951391E-004 0.29208453539712E-009 0.22824629025814E-010 0.80546471028219E-005 0.30324219609246E-001 0.33108435285643E-002 0.95531958467660E-002 0.35718479343233E-008 0.18592736169118E-003 0.99334259116792E-005 0.10368787449992E-003 0.22836353737995E-006 0.18874035922215E-003 0.10081001020427E-017 0.54871224318702E-007 0.73936560238284E+000 -.61666869794618E-037 0.49352206646684E+003 0.93609216472556E-002 -.16954010835526E+003 0.10000000000000E+001 0.79672839657842E+002 0.10000000000000E+006 0.68293974484018E-003 0.28023581507224E+002 0.10000000000000E+001 0.10000000000000E+001 0.49352206646684E+003 0.64823316953225E+001 0.15093763724956E-022
  30 -.49603596879697E+000 0.35475524626552E-004 0.13833709851871E-007 0.82120065995786E-007 0.20560354677113E+000 0.12414081030014E-005 0.10851043783634E-001 0.49861684900564E-004 0.31964981457125E-009 0.25178787008957E-010 0.84985977930988E-005 0.30155626633073E-001 0.34520660787697E-002 0.99554870199109E-002 0.39525995316741E-008 0.19367235074073E-003 0.10284903913656E-004 0.10810119652325E-003 0.24325828153208E-006 0.19674924309806E-003 0.10582711712781E-017 0.57206338504216E-007 0.73937794408796E+000 -.63997091926551E-037 0.50149072246209E+003 0.93512576733387E-002 -.16988276949375E+003 0.10000000000000E+001 0.79682301668343E+002 0.10000000000000E+006 0.67202693880989E-003 0.28021040680401E+002 0.10000000000000E+001 0.10000000000000E+001 0.50149072246209E+003 0.69147722945413E+001 0.20412962943555E-022
